t,norm,peak,PR,R_rms,r50,r80,r90,Vmem_peak,Vmem_mean,k_star,k_star_L,crystallinity,M1,M2,M3,finite,peak_n_cells_half,peak_r_cells,peak_width_phys,artifact_1_2_cells,seed,N,dx,backend
6.7,15923.4560546875,4.002227306365967,18964.196278428568,16.002919347120603,15.75595125658873,19.209372712298546,20.89258241577618,6.6612753033638,1.8343678399370078,10.897399517139595,348.71678454846705,0.9999929666519165,0.7015447488079533,0.3395855923947412,0.016260120217734687,True,1429,6.987382853646305,3.4936914268231525,False,25,64,0.5,mlx
6.8,16086.9296875,3.618417739868164,19007.5561873993,16.00499567815718,15.763882770434446,19.209372712298546,20.89258241577618,6.943797606229782,1.8559630254525472,10.897399517139595,348.71678454846705,0.9999898076057434,0.7014319562049104,0.3440104772419876,0.01677343075378087,True,2834,8.778838889613402,4.389419444806701,False,25,64,0.5,mlx
6.9,16255.04296875,3.801621198654175,19056.692651355876,16.005209990815185,15.7797338380595,19.222382786741086,20.868636754709208,6.271727069467306,1.8774537715279038,10.897399517139595,348.71678454846705,0.999994158744812,0.7008073433187898,0.3482243933655955,0.017287316861281432,True,2168,8.028915542458407,4.014457771229203,False,25,64,0.5,mlx
7.0,16424.0703125,3.8087987899780273,19112.652945670172,16.00896683402225,15.787653403846944,19.222382786741086,20.862646045025066,6.487477055937052,1.899339349858637,10.897399517139595,348.71678454846705,0.9999923706054688,0.700831210274819,0.3524615946671907,0.01781152827692525,True,2223,8.09624455154416,4.04812227577208,False,25,64,0.5,mlx
7.1000000000000005,16585.689453125,3.979518413543701,19142.534118810225,16.010108024432547,15.787653403846944,19.222382786741086,20.862646045025066,6.6041964463889595,1.921094311902897,10.897399517139595,348.71678454846705,0.9999916553497314,0.6993643600162226,0.3564167929755584,0.018332236483544144,True,1762,7.492713008731146,3.746356504365573,False,25,64,0.5,mlx
7.2,16749.845703125,4.026988506317139,19175.48660952273,16.01488803220376,15.795568998931314,19.241881404893856,20.868636754709208,6.3731031864881516,1.9425206416178327,10.897399517139595,348.71678454846705,0.9999874234199524,0.698456086448266,0.36019092941443925,0.01885462717189601,True,1665,7.352615851253731,3.6763079256268654,False,25,64,0.5,mlx
7.3,16911.9140625,3.7729218006134033,19229.16893710222,16.022751836297907,15.795568998931314,19.241881404893856,20.89258241577618,6.41209641173482,1.9637790307503848,10.897399517139595,348.71678454846705,0.999991774559021,0.6991432996086437,0.3643561871905095,0.019407068938700124,True,2634,8.56726867977228,4.28363433988614,False,25,64,0.5,mlx
7.4,17063.67578125,3.9900736808776855,19236.27623936937,16.02706913294269,15.7797338380595,19.254869513969705,20.904544960366874,6.622895030677318,1.9847304867290405,10.897399517139595,348.71678454846705,0.9999936819076538,0.6983128093199042,0.3679922166386124,0.019940875582994025,True,1979,7.788474367953194,3.894237183976597,False,25,64,0.5,mlx
7.5,17224.048828125,3.736405372619629,19309.79088826555,16.03129595731415,15.771810295587505,19.267848867997692,20.91650066335189,6.61662260517478,2.005208453911581,10.897399517139595,348.71678454846705,0.9999948740005493,0.6984338105419136,0.37243137123288333,0.020528445527183397,True,3161,9.104273493616567,4.552136746808284,False,25,64,0.5,mlx
7.6000000000000005,17387.357421875,4.0132670402526855,19363.596284527957,16.03700971624639,15.763882770434446,19.300259065618782,20.946360065653412,6.602753594517708,2.0263494434430314,10.897399517139595,348.71678454846705,0.9999943971633911,0.6988634259722584,0.3763161828726407,0.02109452795055143,True,2021,7.8431869699653305,3.9215934849826652,False,25,64,0.5,mlx
7.7,17536.22265625,4.800034999847412,19367.524507779777,16.038347310442383,15.75595125658873,19.300259065618782,20.982135258357285,6.422508077323437,2.0468134914675478,10.897399517139595,348.71678454846705,0.999995231628418,0.6981547748425287,0.379749032452734,0.021645191379576083,True,532,5.0266001631426915,2.5133000815713458,False,25,64,0.5,mlx
7.8,17692.5078125,3.9718339443206787,19446.33902350266,16.03604044086911,15.748015748023622,19.30673457630782,20.994046775217015,6.1264636285603045,2.0672148965366857,10.897399517139595,348.71678454846705,0.9999958276748657,0.6990179562482376,0.3842125449609954,0.022266229972912988,True,2337,8.232341307558125,4.116170653779062,False,25,64,0.5,mlx
7.9,17835.1171875,3.831940174102783,19479.8248241773,16.029612773014836,15.75595125658873,19.300259065618782,20.988091861815356,6.532199120521545,2.0868820217295907,10.897399517139595,348.71678454846705,0.9999942779541016,0.6985450844758118,0.38822643884458613,0.022874604610668255,True,3043,8.989546454389533,4.4947732271947665,False,25,64,0.5,mlx
8.0,17981.4609375,3.915795087814331,19581.65267861927,16.02089835599803,15.748015748023622,19.248376554920156,20.946360065653412,6.518761804699897,2.106483894614672,10.897399517139595,348.71678454846705,0.9999951124191284,0.6991575865236554,0.39333212446130084,0.02356033336006573,True,2631,8.564014874415735,4.282007437207867,False,25,64,0.5,mlx
