t,norm,peak,R_rms,r50,r80,r90,PR,Vmem_peak,Vmem_mean,n_atoms_detected,n_raw_maxima,nn_mean,nn_median
5.5,14.545650803621994,0.005158789754049084,15.979632980972402,15.758172482873768,19.249935064825543,20.87678136111982,16320.08873533949,0.014115139232148662,0.0016495157529804942,987,2245,2.5616895866743525,2.5298221281347057
5.6000000000000005,14.738411285973221,0.005258287468195092,15.975987698117768,15.737852458324802,19.249935064825543,20.876781361119825,16301.363137828273,0.014485982003232955,0.0016734448297127163,993,2219,2.5618110809590715,2.5298221281347057
5.7,14.917717462150584,0.005825918356108983,15.97557986504176,15.737852458324802,19.233304448274094,20.876781361119825,16330.503126401472,0.013717941304041002,0.0016970006198546493,966,2111,2.5688904940997075,2.5298221281347057
5.8,15.10241486430598,0.006207125824173328,15.974753189820959,15.737852458324802,19.233304448274094,20.87678136111982,16348.367327749527,0.015673483033985185,0.0017209395392799238,941,1999,2.566338243476673,2.5298221281347057
5.9,15.27313502060769,0.006663022654034721,15.980935942107134,15.778466338652816,19.233304448274094,20.87678136111982,16382.966207065107,0.018099129583234185,0.0017446876626643413,902,1867,2.5835254058111725,2.5298221281347057
6.0,15.430638400325176,0.0055439045761530555,15.978719289858379,15.778466338652816,19.23330444827409,20.87678136111982,16475.839293851037,0.019175435347297543,0.0017670346774232288,971,2165,2.560300019778211,2.5298221281347057
6.1000000000000005,15.61330264891112,0.005078877064753258,15.979690398935167,15.75817248287377,19.233304448274094,20.87678136111982,16496.33765673055,0.015594686794464767,0.0017893483281267596,995,2310,2.5581270396579323,2.5298221281347057
6.2,15.8028999588009,0.005495848684211919,15.982949539131587,15.778466338652814,19.233304448274094,20.87678136111982,16395.898821634553,0.014291802990269314,0.0018125288001972991,989,2244,2.557638041730766,2.5298221281346787
6.3,15.95715000783708,0.0053420239851537975,15.983981792852262,15.758172482873768,19.233304448274094,20.87678136111982,16388.02230473596,0.014505128808089884,0.0018348841757394316,993,2293,2.5580241128885484,2.5298221281347057
6.4,16.131596550591542,0.005711271981006598,15.986985550520531,15.758172482873768,19.249935064825543,20.87678136111982,16366.420605372905,0.014473729991650123,0.0018570080354658658,994,2263,2.571824913828305,2.5298221281347057
6.5,16.285422563553606,0.0059673006408333075,15.995601313843446,15.778466338652816,19.249935064825547,20.876781361119825,16340.288072516525,0.015941493451349358,0.0018786739486056315,985,2174,2.5684657082820523,2.5298221281347057
6.6000000000000005,16.46163928412125,0.006275922309142357,15.995372996555115,15.778466338652816,19.249935064825543,20.87678136111982,16372.736755309239,0.016554042188523074,0.0019005232190466832,966,2145,2.575559057688376,2.5298221281347057
6.7,16.634783767770582,0.00625401063710783,15.997034185757473,15.778466338652816,19.249935064825543,20.876781361119825,16434.306565267016,0.017685120601445364,0.001922702495652017,968,2185,2.5852944793329473,2.5298221281347057
6.8,16.769723040548968,0.005882913893785737,15.994997606972976,15.778466338652816,19.233304448274094,20.876781361119825,16416.057388345347,0.018073653551705846,0.0019436502956646146,991,2269,2.554939289332785,2.5298221281347057
6.9,16.91269093254058,0.0056194543704544825,15.99332311171444,15.778466338652816,19.23330444827409,20.876781361119825,16329.293333843598,0.017612236590628372,0.001963262979055054,1009,2263,2.5582260334241846,2.5298221281347057
7.0,17.085996131540067,0.0056331923714274534,15.990708126151516,15.778466338652816,19.23330444827409,20.87678136111982,16304.604480638298,0.015889403762245874,0.001984502561965046,1002,2257,2.5500227978595014,2.5298221281347057
7.1000000000000005,17.24634785023144,0.006385720480487116,15.991537727795972,15.778466338652816,19.233304448274094,20.87678136111982,16395.137549650557,0.015987133050488142,0.0020055359776763775,986,2164,2.5616270854232606,2.5298221281347057
7.2,17.387486812300605,0.006082164957834465,15.994878152342565,15.778466338652816,19.233304448274094,20.87678136111982,16361.447702623815,0.018949129409144807,0.002025997352962433,997,2213,2.5659579474660776,2.5298221281347057
