t,norm,peak,PR,R_rms,peak_n_cells_half,peak_width_phys,artifact_1_2_cells,finite,ic,seed,N,dx,backend
0.63,2003.828125,0.7100543975830078,16359.193923184888,16.003727349550324,812,2.8937375796884304,False,True,1atom,0,64,0.5,mlx
0.635,2018.9521484375,0.7305700182914734,16360.090117160946,16.004627348995452,748,2.8156218958218533,False,True,1atom,0,64,0.5,mlx
0.64,2034.043212890625,0.7299811840057373,16366.814806033772,16.00316806729889,768,2.840496169229977,False,True,1atom,0,64,0.5,mlx
0.645,2050.3115234375,0.7350206971168518,16368.099609282632,16.001623076381147,784,2.8600864170388665,False,True,1atom,0,64,0.5,mlx
0.65,2065.901123046875,0.7085191011428833,16378.719257086203,16.00124035516612,998,3.0996832394369136,False,True,1atom,0,64,0.5,mlx
0.655,2081.5810546875,0.707615315914154,16379.831070506993,16.001420924511148,995,3.0965742270804517,False,True,1atom,0,64,0.5,mlx
0.66,2097.369140625,0.692568838596344,16382.083259209856,16.0015323887323,1180,3.2776894531817384,False,True,1atom,0,64,0.5,mlx
0.665,2111.8974609375,0.7226871848106384,16387.262253595665,16.002886263044097,980,3.080934696678766,False,True,1atom,0,64,0.5,mlx
0.67,2127.084716796875,0.7436147332191467,16393.57780109869,16.00095725373796,857,2.9462351635199564,False,True,1atom,0,64,0.5,mlx
0.675,2142.6044921875,0.7848586440086365,16394.856719248546,16.00083680017946,640,2.6730092351439514,False,True,1atom,0,64,0.5,mlx
0.68,2158.21630859375,0.7518766522407532,16393.798958198906,16.00076781959799,868,2.9587870527974784,False,True,1atom,0,64,0.5,mlx
0.685,2173.38037109375,0.7736698389053345,16389.635693174878,16.003193344764483,769,2.8417284887638474,False,True,1atom,0,64,0.5,mlx
0.6900000000000001,2188.64892578125,0.7870082259178162,16391.28210434024,16.003411198869337,722,2.7826133673038567,False,True,1atom,0,64,0.5,mlx
0.6950000000000001,2204.702392578125,0.7795590162277222,16399.393736011818,16.00346300061416,788,2.864942260686627,False,True,1atom,0,64,0.5,mlx
0.7000000000000001,2219.960205078125,0.8180851936340332,16407.03576652576,16.00385836014319,622,2.647711100013383,False,True,1atom,0,64,0.5,mlx
0.705,2235.785888671875,0.8367352485656738,16412.274124306365,16.003831403853123,560,2.556641358872719,False,True,1atom,0,64,0.5,mlx
0.71,2251.4072265625,0.8196649551391602,16411.386119334933,16.003256088838047,655,2.693731063941906,False,True,1atom,0,64,0.5,mlx
0.715,2267.01123046875,0.7882073521614075,16416.879243661915,16.004415095494913,863,2.953094874343621,False,True,1atom,0,64,0.5,mlx
0.72,2283.145751953125,0.8116477727890015,16418.22548506536,16.005460874361543,739,2.804283698255541,False,True,1atom,0,64,0.5,mlx
0.725,2298.4775390625,0.7804339528083801,16425.95879541331,16.004955987834993,937,3.035197796103196,False,True,1atom,0,64,0.5,mlx
0.73,2312.923828125,0.7824764251708984,16428.13384260001,16.00585949743691,958,3.0577053814681774,False,True,1atom,0,64,0.5,mlx
0.735,2328.779296875,0.8103536367416382,16431.848382817334,16.00721500010675,818,2.900847528611152,False,True,1atom,0,64,0.5,mlx
0.74,2344.197509765625,0.8563315272331238,16429.34511740063,16.007099847091393,631,2.660420308042097,False,True,1atom,0,64,0.5,mlx
0.745,2358.96240234375,0.898372232913971,16417.56299068624,16.007859455350022,500,2.4618625546067414,False,True,1atom,0,64,0.5,mlx
0.75,2373.7529296875,0.9271847605705261,16420.606539365937,16.008723059893768,431,2.342967285345629,False,True,1atom,0,64,0.5,mlx
0.755,2388.2763671875,0.9304306507110596,16423.351928833155,16.00955721801579,427,2.3356965875944073,False,True,1atom,0,64,0.5,mlx
0.76,2402.781494140625,0.936194121837616,16428.607194639055,16.011159408981673,439,2.357374825195132,False,True,1atom,0,64,0.5,mlx
0.765,2418.32958984375,0.926320493221283,16428.10460480864,16.010935930256817,482,2.4319584307936073,False,True,1atom,0,64,0.5,mlx
0.77,2433.026611328125,0.9344817399978638,16423.48129599656,16.010534567197084,479,2.426902369575705,False,True,1atom,0,64,0.5,mlx
0.775,2448.41455078125,0.9344127178192139,16425.065342847156,16.010631728232575,520,2.4942591981125846,False,True,1atom,0,64,0.5,mlx
0.78,2464.2705078125,0.9430159330368042,16417.578297859138,16.010337163364834,498,2.4585756848041687,False,True,1atom,0,64,0.5,mlx
0.785,2479.58837890625,0.9086396098136902,16414.759938380743,16.01033263330831,649,2.6854806874151977,False,True,1atom,0,64,0.5,mlx
0.79,2494.59130859375,0.959549605846405,16425.169378263072,16.010213506982396,475,2.4201280081140237,False,True,1atom,0,64,0.5,mlx
0.795,2510.0810546875,0.9771668910980225,16422.311476342402,16.01065212956289,447,2.371608376568702,False,True,1atom,0,64,0.5,mlx
0.8,2524.477783203125,0.9761591553688049,16417.138513036367,16.00987540361311,458,2.3909048550006715,False,True,1atom,0,64,0.5,mlx
0.805,2538.69140625,1.0159318447113037,16415.052703061298,16.009718101834988,362,2.2105991129310523,False,True,1atom,0,64,0.5,mlx
0.81,2553.297607421875,0.9402596950531006,16407.717311256278,16.009062653609355,619,2.6434474676770274,False,True,1atom,0,64,0.5,mlx
0.8150000000000001,2568.6875,0.9360031485557556,16411.38600471069,16.009804970732265,648,2.6841006868189483,False,True,1atom,0,64,0.5,mlx
0.8200000000000001,2583.8671875,0.9386311769485474,16406.960468058736,16.00983625314849,665,2.707370441098635,False,True,1atom,0,64,0.5,mlx
0.8250000000000001,2599.0927734375,0.9250855445861816,16397.414112095536,16.010136818976388,760,2.8305988897884706,False,True,1atom,0,64,0.5,mlx
0.8300000000000001,2613.654296875,0.9616851806640625,16388.888901426035,16.009549677784374,651,2.6882364417217066,False,True,1atom,0,64,0.5,mlx
0.835,2628.95166015625,1.0354673862457275,16378.270725804463,16.0093912530925,417,2.3173189843978808,False,True,1atom,0,64,0.5,mlx
0.84,2644.214599609375,1.0663204193115234,16372.782958404334,16.010192027904406,339,2.1627535520778474,False,True,1atom,0,64,0.5,mlx
0.845,2659.01708984375,1.0509638786315918,16372.011973740151,16.012612049977836,395,2.275828332443344,False,True,1atom,0,64,0.5,mlx
0.85,2674.16064453125,1.0239429473876953,16377.569452652391,16.01194854066356,484,2.4353174936689146,False,True,1atom,0,64,0.5,mlx
0.855,2689.758544921875,1.027889609336853,16381.217335361558,16.010439701460452,477,2.4235199228654905,False,True,1atom,0,64,0.5,mlx
0.86,2704.47509765625,0.9803981781005859,16388.64390008198,16.009196814148126,676,2.7222167373297754,False,True,1atom,0,64,0.5,mlx
0.865,2719.7978515625,0.997875988483429,16401.93530656358,16.00918833864917,626,2.6533746704257872,False,True,1atom,0,64,0.5,mlx
0.87,2734.86181640625,1.0265880823135376,16415.94346792263,16.00960847539679,538,2.5227132783557766,False,True,1atom,0,64,0.5,mlx
0.875,2749.9853515625,1.060530424118042,16417.972667186485,16.009311412281534,450,2.3769021628309064,False,True,1atom,0,64,0.5,mlx
0.88,2764.55859375,1.06952965259552,16428.261083424415,16.00951594952201,444,2.3662908511561875,False,True,1atom,0,64,0.5,mlx
0.885,2779.98388671875,1.0903983116149902,16434.337515911375,16.00806193349421,400,2.285390748670416,False,True,1atom,0,64,0.5,mlx
0.89,2795.056884765625,1.111840009689331,16433.116262014435,16.008326247863355,376,2.2387370303845966,False,True,1atom,0,64,0.5,mlx
0.895,2809.18359375,1.0971691608428955,16435.117087072173,16.008011175308596,416,2.315465128419067,False,True,1atom,0,64,0.5,mlx
0.9,2824.6123046875,1.0747721195220947,16440.63999194066,16.00809412838505,488,2.4420079599615385,False,True,1atom,0,64,0.5,mlx
0.905,2840.802001953125,1.0958634614944458,16445.63225795328,16.00859900248371,457,2.389163481584181,False,True,1atom,0,64,0.5,mlx
0.91,2856.2978515625,1.098972201347351,16440.23681574456,16.009055929140434,461,2.396113814504926,False,True,1atom,0,64,0.5,mlx
0.915,2869.88623046875,1.0740971565246582,16439.154094962487,16.007821198106583,538,2.5227132783557766,False,True,1atom,0,64,0.5,mlx
0.92,2885.822021484375,1.0787087678909302,16443.54239255396,16.00774959334709,547,2.5367027322557734,False,True,1atom,0,64,0.5,mlx
0.925,2901.3779296875,1.0983489751815796,16447.648991158298,16.007854292002605,502,2.465140671068359,False,True,1atom,0,64,0.5,mlx
0.93,2915.8076171875,1.1097232103347778,16442.083552259897,16.007938083293038,503,2.466776464959846,False,True,1atom,0,64,0.5,mlx
0.935,2930.895263671875,1.1313832998275757,16439.14011668363,16.007806565379592,483,2.4336391213291013,False,True,1atom,0,64,0.5,mlx
0.9400000000000001,2945.82763671875,1.1933199167251587,16439.613560705006,16.007969229791208,327,2.1369271593919046,False,True,1atom,0,64,0.5,mlx
0.9450000000000001,2960.16015625,1.219188928604126,16439.32616733451,16.008468153619265,304,2.0856030939994468,False,True,1atom,0,64,0.5,mlx
0.9500000000000001,2975.163818359375,1.266919732093811,16429.57640293988,16.007632355564795,238,1.9222038978855256,False,True,1atom,0,64,0.5,mlx
0.9550000000000001,2990.69970703125,1.33643639087677,16426.495109646385,16.006674338968004,157,1.6732995157538093,False,True,1atom,0,64,0.5,mlx
0.96,3005.80126953125,1.3273628950119019,16425.923241270862,16.006714588609206,182,1.7577789684300011,False,True,1atom,0,64,0.5,mlx
0.965,3020.88330078125,1.2351208925247192,16419.892189794988,16.006464209662585,327,2.1369271593919046,False,True,1atom,0,64,0.5,mlx
0.97,3035.34912109375,1.206786036491394,16419.625829373334,16.006143607061357,380,2.246647827675118,False,True,1atom,0,64,0.5,mlx
0.975,3049.4833984375,1.128361463546753,16433.152698627393,16.005345813318144,569,2.570264927047157,False,True,1atom,0,64,0.5,mlx
0.98,3064.289306640625,1.0804390907287598,16430.18881834788,16.005312627358393,785,2.8613019235247785,False,True,1atom,0,64,0.5,mlx
0.985,3078.1259765625,1.1205518245697021,16433.3433018486,16.005690315962354,635,2.6660300669995127,False,True,1atom,0,64,0.5,mlx
0.99,3092.95849609375,1.1672677993774414,16435.915947874557,16.00563611182657,512,2.4814019635976,False,True,1atom,0,64,0.5,mlx
0.995,3107.43603515625,1.2381588220596313,16438.265664600764,16.004726277467835,359,2.204475538312751,False,True,1atom,0,64,0.5,mlx
1.0,3122.1689453125,1.236374020576477,16441.44070045322,16.00579667932064,380,2.246647827675118,False,True,1atom,0,64,0.5,mlx
